Where are FMAudit Central application logs stored?,Typically under C:\\Program Files (x86)\\FMAudit\\Central\\Logs.
How often does the DCA check for software updates?,Approximately once per hour.
Can Printanista Hub send alerts based on supply levels?,"Yes, supply-based alerts can be configured per customer."
Are VPN connections supported for DCA reporting?,"Yes, as long as DNS and HTTPS traffic are not blocked."
How does Printanista detect devices behind NAT?,"It uses MAC address, serial number, and model matching across accounts."
Where can you configure the offline grace period for devices?,Inside the DCA settings file under 'DisconnectedDeviceGracePeriod'.
What SNMP versions does Printanista DCA support?,SNMPv1 and SNMPv2c primarily.
Can Printanista Hub be installed on a domain controller?,"No, it is strongly discouraged for security and stability reasons."
What port does the Printanista DCA use locally for its web UI?,Default is TCP 31816.
What format is used for DCA auto-update configuration files?,JSON format.
Can FMAudit Viewer operate standalone?,"No, it requires communication with an active FMAudit Central server."
Does Printanista Hub support multifactor authentication?,MFA is not natively supported as of version 5.0.
How does DCA detect newly added printers?,Scheduled SNMP scans across defined IP ranges.
Where is the Central.XML file used?,During Printanista Hub installation to configure connection settings.
Can you change the Printanista Hub license later?,"Yes, re-upload the new license under Admin > Licensing."
What are the backup DNS servers for ECI DCA registration?,ECI fallback DNS servers include AWS-based public IPs (18.221.x.x and 18.194.x.x ranges).
How do I collect DCA logs for Printanista or FMAudit troubleshooting?,"You can collect logs from C:\\ProgramData\\ECI DCA\\logs or use the web interface at http://localhost:31816, then go to Support > Download Logs."
What are the methods for triggering debug logs in the DCA?,Set 'Trace=true' and 'Debug=true' in the DCA config file or enable debug from the local web UI.
Where can I find Central logs for Printanista or FMAudit?,"Central logs are found in the Central application directory, typically under Program Files or ProgramData depending on deployment."
How do I collect logs when Printanista devices aren’t updating?,"Ensure DCA logs, SNMP logs, and hub sync logs are collected; check device scan results and communication timestamps."
What ports must be open for Printanista DCA communication?,Port 443 outbound for HTTPS and optionally port 31816 local for web interface access.
What does the DCA use for SNMP communication?,"It uses SNMPv1 or v2c, default community string is usually 'public', with support for custom strings per scan range."
Where do I set custom SNMP communities in DCA?,"In the DCA local web interface, under Network Discovery > Scan Ranges > Edit."
What causes SNMP 'NoSuchName' errors in logs?,Usually invalid OIDs or unsupported SNMP versions on the target printer; check firmware and community strings.
Why would a device not show up in Printanista despite being on the network?,"Common reasons include: not in scan range, SNMP blocked, incorrect community string, or device offline during scan."
What’s the purpose of the Edge ID in DCA logs?,"Edge ID uniquely identifies the local DCA install for registration, communication, and licensing purposes."
What’s the difference between FMAudit Onsite and ECI DCA?,"FMAudit Onsite is the legacy collector, while ECI DCA is the modern collector used with Printanista and supports more features."
What should I do if my DCA is stuck in 'Disconnected' status?,"Check firewall, internet connectivity, registration status, and whether the DCA can reach meters.mydoceo.com."
How do I know which devices were matched successfully in a DCA scan?,"Logs will show 'Device MATCHED' entries with IP, MAC, model, and serial number when matching succeeds."
What is the role of the Central.XML file during setup?,It defines initial connection parameters and credentials between Printanista Hub and Central during installation.
How do I re-run initial Printanista Hub license activation?,Go to Admin > Licensing and paste the new license string provided via GTTechOnline or ECI Support.
Can I license multiple Printanista Hubs from the same portal?,"Yes, each Hub instance has its own unique public key and license string, but they're managed under the same GTTechOnline login."
What’s the default refresh interval for SNMP scans?,Typically every 30–60 minutes depending on scan profile settings.
Can I export meter data from Printanista Hub?,"Yes, reports can be exported via the Reports section or API if integrated with E-Auto or a third-party system."
What API format does Printanista use?,"JSON over HTTPS, using bearer token authentication for integrations like E-Auto or other systems."
Where do I find the bearer token for EAuto integration?,In Printanista: Admin > Syncs > Settings > Web Service Authentication > Create Token.
Does FMAudit Central use a token for EAuto?,"No, FMAudit uses web service credentials directly input into the integration settings rather than a bearer token."
Can I deploy DCA on a non-Windows system?,Only FMAudit Java Onsite can be deployed on macOS or Linux; ECI DCA is Windows-only.
Can I throttle scan frequency in DCA?,"Yes, intervals for meters, supplies, errors, and attributes can be configured independently in the scan configuration."
What’s the default local port for FMAudit Central?,Typically port 80 or 443 depending on SSL configuration.
Where can I see supply alerts in Printanista?,"In the Alerts section, under Supply Alerts or via the Device Dashboard if thresholds are configured."
What kind of encryption is used for data at rest in Hub?,Data is encrypted using SQL Server encryption or file system controls depending on deployment.
Does Printanista Hub require Active Directory integration?,"No, but it supports user role management internally; AD integration is not required for login."
What happens if I reinstall DCA without removing the old one?,"A new Edge ID will be generated, which could duplicate device records unless the old one is deleted first."
Can I delete an old Edge ID from the portal?,"Yes, via Printanista admin portal under DCA Management or by contacting support."
What’s the expected behavior if the DCA scan range is too broad?,"It may cause timeouts, missed scans, or excessive CPU/network load; best practice is to narrow ranges per subnet."
What file controls DCA scan ranges?,Configured via the local web UI or manually edited via the JSON configuration file (dca.config).
What is the role of the MAC address in device matching?,It’s used along with model and serial to match devices accurately even if IPs change.
What’s the function of the ‘DisconnectedDeviceGracePeriod’ setting?,"It allows devices to stay visible for a set period (e.g., 10 minutes) after they go offline."
Can I check TLS version used in a DCA connection?,"Yes, logs will show TLS version (e.g., 'TLS 1.2 enabled') during Hub connection startup."
What should I look for in a license validation failure?,"Check for bad public key, expired license, GTTechOnline outage, or incorrect pasting of license string."
Where do I enter license keys in Printanista Central?,Under Admin > Licensing > Paste License > Save.
Can I use Printanista in a disconnected environment?,"Not recommended; it requires internet access for updates, licensing, and remote sync."
How do I handle SNMP 'NoSuchName' errors for HP MIBs?,"Update firmware, validate OIDs, or consult the SNMP walkthrough logs for the failing object ID."
What are typical DCA log file names?,dca.YYYY-MM-DD.#.log — rolled daily or on each restart.
What does 'EdgeEngine' mean in DCA logs?,"It refers to the local service managing SNMP, transport, and registration logic."
What is 'HubConnection' in logs?,The process managing the WebSocket/SignalR link to Printanista Hub Central.
How does the DCA fallback to long polling?,"If WebSocket connection fails, it automatically attempts Long Polling mode and logs the downgrade."
What are common causes of 'SNMP Timeout'?,"Blocked port 161, incorrect community, or the printer being offline or in deep sleep."
What are fallback DNS servers for ECI registration?,"AWS-based DNS servers (e.g., 18.221.x.x, 8.8.8.8) are listed in the DCA config."
Where is the DCA web interface hosted locally?,Default is http://localhost:31816.
Can multiple DCAs report to the same Printanista Hub?,"Yes, as long as each DCA has a unique Edge ID and is properly licensed."
Can I manage multiple customers with one DCA?,"No, each customer/account should have a dedicated DCA for security and data separation."
How are alerts configured in FMAudit Central?,Alerts are configured under the Alert Settings menu and tied to meter or supply conditions.
What are signs of SNMP misconfiguration in logs?,Repeated 'NoSuchName' or timeout entries for known OIDs are a clear indicator.
What happens if the DCA config file is corrupted?,The DCA will fail to start properly; reinstallation or restoring a backup config is recommended.
Can DCA update through a proxy server?,"Yes, if the proxy settings are properly detected or manually configured in the dca.config file."
Where can I check DCA proxy settings?,"Proxy usage is logged during startup, or can be manually reviewed in the dca.config."
What file controls DCA logging level?,dca.config; adjust 'Trace' and 'Debug' flags.
What triggers DCA auto-update checks?,Startup and periodic scheduled checks based on the AutoUpdate interval in config.
What is the fallback update behavior if update servers are unreachable?,The DCA continues running without updates and retries at next interval.
Can FMAudit Onsite run without Central?,"No, Onsite needs Central for license validation and reporting."
How does Printanista manage duplicate devices?,"Device matching is based on serial number, MAC address, and model to avoid duplication."
What happens if a printer changes IP address?,"As long as serial and MAC are the same, Printanista will re-map it automatically."
Where can I customize device matching rules in Hub?,Device matching rules are mostly internal but some behaviors can be modified via Admin policies.
Can I use a custom SSL certificate for DCA web interface?,"Yes, replace the default certificate binding manually via IIS or service configuration."
What happens when the DCA server clock is out of sync?,TLS connections to Printanista servers may fail due to SSL certificate validation errors.
What indicates SSL handshake failure in DCA logs?,"Look for 'TLS error', 'SSL validation failed', or 'Handshake failed' entries."
What happens if the DCA license expires?,The agent stops sending meter data but continues internal scans until a new license is applied.
What causes 'Hub ping timeout' errors in DCA logs?,"Likely connectivity issues, firewall blocking, or Hub Central being unreachable."
Where is the SNMP walk output saved in DCA?,SNMP walk output is temporarily cached in memory unless a debug log is explicitly captured.
What is 'OnsiteDataProcessingThread' in logs?,It’s the thread responsible for parsing local device scans and inserting data into Hub.
Can I disable auto-updates for the DCA?,"Yes, by setting 'AutoUpdateReleaseChannel' to 'none' or disabling auto-update in config."
What security standard does Printanista HTTPS communications meet?,TLS 1.2 encryption with strong cipher suites.
How are device alerts triggered in Printanista?,"Based on thresholds for meters, toner levels, or error states defined per device."
What authentication methods does Printanista Hub support for Admin login?,Username/password; MFA is not natively supported.
What’s the typical DCA install size on disk?,Approximately 50–100MB depending on logs and temporary data.
What does 'DeviceAdded' mean in DCA logs?,The DCA has discovered a new device IP during a scan and is attempting to report it.
How are license strings formatted for Hub?,Base64-encoded license blocks that include metadata about account and expiration.
What happens if you paste an invalid license in Printanista?,License validation fails immediately with a visible error message.
How does Printanista handle WAN-disconnected branches?,Agents (DCA) can operate locally and sync once internet access is restored.
What is the DCA maximum concurrent SNMP thread limit?,Default is 100 concurrent SNMP sessions unless customized in the config.
Can DCA scan multiple subnets?,"Yes, you can define multiple IP ranges in Network Discovery settings."
What triggers an auto-retry of Hub connection?,Connection interruptions exceeding timeout thresholds trigger automatic reconnection attempts.
What ports must be open for FMAudit Onsite to Central communication?,Ports 80 or 443 outbound depending on SSL setup.
What is the minimum RAM recommended for DCA installations?,"4GB minimum is recommended for stable operation, but 8GB is preferred for heavy environments."
What does 'MdsAuthorization' mean in DCA logs?,It relates to device authorization handshake for remote service integrations like eAuto.
What happens if Printanista loses contact with a DCA?,Hub will mark devices as stale after the offline grace period lapses.
Where can I find the public key for Printanista licensing?,Admin > Licensing > Copy Public Key.
How does DCA handle mixed SNMP versions across networks?,"It attempts SNMPv2 first; if unavailable, it falls back to SNMPv1."
How are DCA crash dumps handled?,Crash reports are saved locally and can be submitted manually to ECI support for analysis.
What metrics are monitored in DCA health checks?,"Device discovery rate, failed SNMP responses, hub connectivity, and supply thresholds."
How are offline devices flagged in Hub?,"After the DisconnectedDeviceGracePeriod expires, devices are marked offline automatically."
What does 'ProcessedValueChanged' mean in DCA logs?,It indicates successful update of a scanned SNMP value from previous state.
Is VPN tunneling supported for DCA communication?,"Yes, if DNS resolution and HTTPS traffic are properly routed through the tunnel."
What is the fallback registration server if reg.pf-d.ca is down?,Registration retries fallback IPs embedded in DCA config.
Can I modify DCA service startup order?,"Yes, using Windows Service Manager but not recommended unless troubleshooting race conditions."
What happens when an invalid SNMP OID is scanned?,Logged as 'NoSuchName' or 'OID invalid' but does not crash the scan process.
What should I include in a DCA debug log submission?,"Full DCA log folder, dca.config, and screenshots of local settings if possible."
What happens if two DCAs report for the same customer?,Duplicate devices may appear unless Edge IDs and scan ranges are properly isolated.
Can you throttle SNMP retries to reduce network load?,"Yes, configure 'SnmpRetries' and 'SnmpTimeout' in the DCA settings."
Where is the ECI Updates server hosted?,Updates come from Amazon CloudFront (printfleetcdn.com).
What is the difference between Hub's 'device discovered' and 'device matched'?,"Discovery means seen by IP; matching confirms correct serial, model, and MAC address."
What triggers a meter alert in Printanista?,Crossing a defined threshold for monochrome or color meter counts triggers meter alerts.
Question,Answer
What are the steps to activate a Printanista Hub license?,1. Log into the Hub and go to Admin > Licensing. 2. Copy the Public Key. 3. Log into https://www.gttechonline.com using your technical credentials. 4. Retrieve the License String. 5. Paste it back into the Licensing page in Printanista. 6. Click Save.
How do I collect logs for a Printanista DCA that's not showing devices?,1. Open the DCA local web UI at http://localhost:31816. 2. Go to Support > Download Logs. 3. Include dca.config and any recent .log files from C:\\ProgramData\\ECI DCA\\logs. 4. Check if the scan ranges and SNMP settings are correct. 5. Submit logs to ECI support if needed.
How do I validate a suspected SNMP mismatch in DCA logs?,1. Look for 'NoSuchName' or SNMP timeout errors. 2. Note the OID and device model. 3. Verify if the device supports that OID using an SNMP walk. 4. Cross-check the scan definition file if available.
What steps should I follow if Printanista devices are missing after reinstalling the DCA?,1. Confirm that the new DCA install generated a new Edge ID. 2. Log into Hub and check under Admin > DCA Management. 3. Remove the old Edge ID if it's no longer valid. 4. Ensure new scan ranges are defined. 5. Monitor logs for device discovery and match confirmations.
How do I create a new API key for a third-party Printanista integration?,"1. Log into https://admin.printfleetcentral.com. 2. Go to API Keys > Accounts. 3. Search for the dealer account. 4. If not found, click Add New Developer. 5. Fill in the company, contact, and intended use. 6. Click Add Key > Choose system > Set access and expiry. 7. Copy the license key and provide to third party."
What steps should I follow when troubleshooting a failed EAuto sync from Printanista?,1. Check Admin > Syncs > Logs in Printanista. 2. Verify token is valid under Admin > Syncs > Settings. 3. Confirm Printanista URL and token are entered correctly in eAuto. 4. Re-create token if expired. 5. Check firewall rules or proxy settings if HTTPS fails.
How do I verify a Printanista Hub is properly using HTTPS?,1. Open IIS Manager on the server. 2. Check site bindings for port 443 with SSL certificate assigned. 3. Access the Hub URL using https:// to ensure no browser security warnings appear. 4. Review SSL certificate issuer and expiration.
How do I reset a forgotten Printanista Admin password?,1. Access the SQL Server hosting the Hub DB. 2. Run a query to reset the admin password or create a new user with admin rights. 3. Restart the Hub application pool if needed. 4. Log in and update credentials immediately.
How can I isolate SNMP scan issues on a per-device basis?,"1. Use SNMP Walk tool from the DCA or external SNMP utility. 2. Test known working OIDs (e.g., 1.3.6.1.2.1.1.5.0 for hostname). 3. Compare against expected OIDs from the scan definition. 4. Look for SNMPv1 vs. v2c mismatches. 5. Check firewall logs or ACLs."
How do I configure an SNMP-only scan profile in DCA?,1. Open the DCA local web interface. 2. Go to Network Discovery > Add Range. 3. Enter IP range and select SNMP scan only. 4. Set community string (default is 'public'). 5. Save and wait for scan interval to complete.
How do I verify a DCA is licensed and reporting correctly to Printanista?,1. Go to DCA local UI > Status. 2. Check Hub Connection status (should be Connected). 3. Review License Expiry date. 4. Confirm recent logs show device scan and match activity. 5. Log into Printanista and look for device updates from that Edge ID.
What steps should I follow to replace a DCA on a client site?,1. Uninstall the old DCA or stop the service. 2. Install the new DCA on a dedicated server. 3. Configure scan ranges and SNMP communities. 4. Confirm new Edge ID is active. 5. Log into Printanista > Admin > DCA Management > Remove the old DCA if inactive.
How do I troubleshoot 'ProcessedValueChanged' errors in logs?,"1. Identify the SNMP OID and device involved. 2. Confirm device supports the value. 3. Compare with previous value to see if it's a legitimate change. 4. If pattern is frequent or invalid, check for firmware bugs or incorrect scan definitions."
How do I escalate a license issue when GTTechOnline is down?,"1. Retrieve the Public Key from Hub > Admin > Licensing. 2. Email support@ecisolutions.com with the public key, account info, and context. 3. CC your manager and note urgency. 4. ECI will generate the license string manually and return it via email."
What steps are needed to convert FMAudit Viewer data to Printanista?,1. Export the viewer's XML or CSV data. 2. Contact ECI support to evaluate data format. 3. Import via Printanista's Admin > Bulk Import tools or use API if applicable. 4. Validate meters and devices match expectations.
How do I generate a manual SNMP walk from DCA logs?,"1. Enable debug mode in DCA. 2. Trigger a scan manually. 3. Review log file (e.g., snmp.YYYY-MM-DD.#.log). 4. Look for sequence of OIDs retrieved. 5. Save logs for device-specific troubleshooting."
How do I verify WebSocket connection success from DCA to Hub?,"1. Check DCA logs for 'Connected using webSockets'. 2. Note the connection ID. 3. Confirm stable heartbeat intervals. 4. If fallback occurs, logs will indicate switch to Long Polling."
How do I adjust scan frequency to reduce load in large environments?,"1. Open the DCA UI. 2. Edit the scan profile. 3. Increase meter/supply/error intervals (e.g., from 1 hour to 4 hours). 4. Save and monitor device responsiveness."
How do I securely export all device data from Printanista?,"1. Go to Reports > Device Summary or Inventory Export. 2. Filter by date, location, or model if needed. 3. Export to CSV or PDF. 4. Ensure export is done via HTTPS connection. 5. Store report securely per company data policy."
How do I know if DCA auto-updated successfully?,1. Check DCA logs at startup. 2. Look for 'Checking for updates' and 'Current version is up to date'. 3. Version number will appear in top logs. 4. You can also verify version in the local web UI footer.
What should I do if the DCA isn't registering after installation?,"1. Open the dca.log and confirm it’s attempting to reach https://reg.pf-d.ca. 2. Ensure outbound HTTPS (443) is allowed on the firewall. 3. Check DNS resolution for reg.pf-d.ca. 4. Confirm correct system date/time to avoid TLS issues. 5. If logs show 'Registration failed', validate internet access and proxy settings. 6. Restart the DCA service after any config changes."
How do I verify the DCA is actively sending data to Printanista Hub?,"1. Open http://localhost:31816 and check the status page. 2. Ensure the 'Hub Connection' shows 'Connected'. 3. Review logs for successful 'Device MATCHED' and 'ProcessedValueChanged' entries. 4. In Printanista, go to Admin > DCA Management and confirm the DCA is online with recent activity."
How do I troubleshoot a sudden drop in discovered devices?,1. Check DCA logs for recent scan results — ensure devices are being pinged. 2. Verify SNMP is still enabled on printers. 3. Look for subnet changes or VLAN segmenting. 4. Review scan ranges to confirm they still include target devices. 5. Restart the DCA service to clear stale network state.
How can I test if SNMP responses are valid from a target printer?,"1. Use SNMP Walk from the DCA UI or command line tool. 2. Start with base OID 1.3.6.1.2.1.1 (system info). 3. Confirm community string and SNMP version match the printer config. 4. If no response or 'NoSuchName', verify SNMP settings on the printer or firewall blocks."
Why is FMAudit Onsite not forwarding data to Central?,1. Open Onsite settings and verify the Central URL. 2. Confirm Central is reachable over HTTPS. 3. Look at Onsite logs for transmission failures or licensing errors. 4. Check for expired Viewer license or Central auth failure. 5. Re-run the onboarding wizard if connection fails.
What should I check if eAuto integration with Printanista fails?,"1. Go to Admin > Syncs > Logs and review the error output. 2. Confirm the token is still valid and not expired. 3. Verify the eAuto server can reach the Printanista URL. 4. If 'authentication failed', recreate the Web Service Token and reapply it in eAuto under Tools > Options."
What does it mean if TLS handshake fails during DCA startup?,"It usually means a system clock mismatch, outdated Windows certificate store, or a proxy interfering with the connection. Update Windows, sync the clock, and test outbound connectivity using PowerShell: Test-NetConnection reg.pf-d.ca -Port 443."
What causes long delays in SNMP scans for certain printers?,1. The printer may be slow to respond or have power-save modes. 2. Check SNMP Timeout and Retries in the config. 3. Reduce SNMP concurrency if network load is high. 4. Review device firmware or SNMP implementation bugs. 5. Use device-specific scan definitions if available.
How do I isolate issues when Printanista device matches are inconsistent?,"1. Compare scan logs to see if MAC, serial, or hostname are fluctuating. 2. Check if duplicate MACs exist across subnets. 3. Validate if devices are behind NAT or remote subnets. 4. Ensure no overlap of scan ranges across multiple DCAs."
How do I troubleshoot a Central service not starting?,1. Open Event Viewer and check for .NET or SQL errors. 2. Confirm IIS Application Pool is running and pointing to the correct directory. 3. Make sure SQL Server is reachable and the Central database is online. 4. Check for licensing errors in the logs.
What should I check when device meters are not updating in Hub?,"1. Review DCA logs for successful SNMP scans. 2. Confirm 'ProcessedValueChanged' entries exist. 3. Make sure the scan profile includes meter OIDs. 4. If all else fails, walk the device manually to verify supported OIDs."
Why does the DCA show 'Connected' but no devices appear in Hub?,"1. Check if scan ranges are defined. 2. Confirm SNMP discovery is enabled. 3. Look at DCA logs for 'Device MATCHED' or 'DeviceAdded'. 4. If missing, review firewall or VLAN segmentation. 5. Also confirm the device’s SNMP is enabled and reachable."
What are signs that a license was pasted incorrectly in Hub?,"1. The license field may show as blank after save. 2. Admin > Licensing may show 'Not Licensed'. 3. Errors in the backend may show license parse or checksum failure. 4. Always paste the full block, including headers and footers, no extra spaces."
What should I check when SMTP alerts aren’t sending from Printanista?,"1. Go to Admin > Email Settings. 2. Verify SMTP server, port, and TLS toggle. 3. Check sender and recipient addresses. 4. Review the SMTP log under the Admin section. 5. Confirm firewall allows outbound port 587 or 25. 6. Try telnet test from server to mail host."
How do I verify SNMP community strings across multiple printers?,1. Log into each printer's web interface and check SNMP settings. 2. Ensure 'public' (or your custom string) is enabled for read access. 3. Use an SNMP walk with the same string for verification. 4. Document any variations and update scan profiles accordingly.
What if I see the same printer listed twice in Printanista?,"1. Compare MAC, serial, and hostname fields. 2. If different Edge IDs report the same device, one may be stale. 3. Consolidate to the most recent DCA and disable the old one. 4. Open a support case if the system doesn’t de-duplicate automatically."
What does the error 'Unable to convert value from OID' mean in logs?,"It means the printer responded with a value that doesn’t match expected format (e.g., null, corrupt, or non-decimal string). Often caused by firmware inconsistencies or unsupported MIBs."
What are best practices for defining scan ranges in large environments?,1. Break IP space into logical subnets. 2. Limit each DCA to a max of 500 devices per range. 3. Use CIDR to define efficient blocks. 4. Avoid overlapping scan ranges across DCAs. 5. Use VLAN-specific subnets where possible.
How do I know if a printer supports SNMPv3?,1. Review the printer's admin interface. 2. Check documentation for SNMPv3 support. 3. Try connecting using SNMPv3 credentials in a walk tool. 4. Be aware that DCA currently does not fully support SNMPv3 authentication.
What should I include when submitting logs to ECI for analysis?,"1. Full contents of C:\\ProgramData\\ECI DCA\\logs. 2. dca.config. 3. Description of the issue and time of failure. 4. Screenshots if available. 5. Note if issue is related to licensing, device discovery, or sync."
How can I test if a proxy server is interfering with DCA communication?,1. Open CMD and use curl to https://reg.pf-d.ca. 2. Review proxy settings in Windows Internet Options. 3. Disable proxy temporarily and restart DCA. 4. Review if logs show successful registration after proxy change.
What could cause missing serial numbers in scanned devices?,1. Printer firmware may not expose serial via SNMP. 2. Device is asleep or low-power mode limits SNMP response. 3. DCA scan profile does not request specific OIDs. 4. Perform manual SNMP walk to validate available fields.
How do I troubleshoot Central web portal access errors?,1. Confirm IIS is running. 2. Verify Application Pools are started. 3. Ensure SSL certificate is still valid if HTTPS is used. 4. Check Windows Firewall inbound rules for port 443 or 80.
How do I find DCA WebSocket handshake failures?,1. Open dca.log and search for 'WebSocket' entries. 2. Identify if fallback to Long Polling occurred. 3. Review intermediate firewall logs if ports 443 or WebSocket upgrades are blocked.
How can I tell if a DCA is stuck in old device data?,"1. Check the last scan time for devices. 2. If timestamps are >1 week old, the DCA may be stalled. 3. Force a resync or reinstall DCA if needed."
What should I review before moving a Printanista Hub server?,1. Backup SQL database. 2. Export IIS settings. 3. Record licensing keys and Hub Admin settings. 4. Verify DNS and firewall updates after migration.
What causes inconsistent supply level reporting?,1. Supplies MIB OIDs may vary by firmware revision. 2. Printer may round values differently when low. 3. SNMP responses could timeout. 4. Validate OIDs with SNMP walk and customize scan profile if necessary.
How do I fix a 'certificate validation failed' error on DCA?,1. Ensure Windows Certificate Store is updated. 2. Synchronize system time. 3. Verify proxy or firewall isn’t altering SSL/TLS inspection.
How can I optimize DCA performance for 1000+ printers?,1. Reduce scan concurrency slightly (80–100 max). 2. Schedule scans at off-peak network times. 3. Increase SNMP timeout slightly. 4. Split ranges into subnet-specific blocks.
What is the fallback behavior if Printanista Hub can't validate a license immediately?,Hub will continue operating in limited mode but will flag 'Not Licensed' warnings until a valid license string is entered.
What should I do if Central’s SQL database goes into suspect mode?,1. Check SQL error logs for corruption. 2. Attempt DBCC CHECKDB repairs. 3. Restore from last good backup if needed. 4. Notify users before attempting database detach/reattach.
How do I troubleshoot when a DCA update fails?,1. Look for AutoUpdate errors in dca.log. 2. Confirm access to https://updates.printfleetcdn.com. 3. Verify TLS settings allow HTTPS communication. 4. Manual reinstall may be required if corrupted.
What signs indicate a firewall is blocking Printanista traffic?,1. DCA logs show repeated ping or registration failures. 2. Hub shows DCA offline despite local scans working. 3. Manual curl/wget tests to registration server fail.
What is the impact if printers change SNMP community strings?,1. DCA will fail to authenticate SNMP scans. 2. Devices may show stale or no updates. 3. Errors will appear in scan logs as SNMP failures.
How can I safely restart Central and Printanista without data loss?,1. Stop IIS services. 2. Pause scheduled tasks (if any). 3. Confirm no active Hub syncs. 4. Restart SQL services cleanly. 5. Restart IIS Application Pools.
What is the best way to isolate SNMP issues to specific VLANs?,1. Assign separate DCA instances per VLAN if possible. 2. Scan each VLAN separately. 3. Monitor success/failure rates per subnet. 4. Look for asymmetric routing or firewall issues.
How can I tell if a DCA Edge ID is duplicated across environments?,1. Check Admin > DCA Management in Printanista. 2. Search for duplicate Edge IDs assigned to different customer accounts. 3. Remove duplicates manually if needed.
How do I fix devices showing 0 pages printed?,1. Validate correct OIDs in the scan profile. 2. Confirm the printer supports PageCounter OIDs. 3. Update printer firmware if SNMP support is limited. 4. Force a manual SNMP walk to validate live meters.
What’s the correct escalation path for major Printanista sync failures?,1. Gather Hub and DCA logs. 2. Screenshot errors. 3. Confirm licensing status. 4. Submit case to ECI Support with priority marking if sync failure affects multiple customers.
What should I do if HTTPS binding is missing in IIS for Printanista?,1. Open IIS Manager. 2. Go to Bindings > Add > Select https and assign certificate. 3. Restart IIS site. 4. Confirm HTTPS access to Hub.
What are recommended timeout settings for SNMP in large networks?,Timeout: 10000 ms. Retries: 2. Max concurrency: 80–100 depending on network health.
What should I verify if meter exports are incomplete in Printanista?,1. Confirm device discovery is complete. 2. Ensure correct device types are included in report filters. 3. Double-check Hub report generation settings.
How do I troubleshoot 'DisconnectedDeviceGracePeriod' misbehavior?,1. Review DCA config to ensure grace period is set properly. 2. Check if device is still pingable via ICMP/SNMP during offline window.
